user,uid,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
.,18,4.2371,3.5589,3.5024,3.7328,2.5477
1Pin,46,4.2336,3.5564,3.5001,3.7288,2.5473
Clover,19,4.2376,3.5575,3.5099,3.7376,2.5441
Coisini,42,4.2358,3.5586,3.5040,3.7262,2.5345
DCicada（李欣语）,24,4.2469,3.5633,3.5095,3.7352,2.5392
Enid55,6,4.2353,3.5549,3.5066,3.7340,2.5495
Lescourantsdair,9,4.2409,3.5634,3.5083,3.7403,2.5417
Min Yin,47,4.2507,3.5626,3.5147,3.7382,2.5441
guji,2,4.2489,3.5638,3.5129,3.7406,2.5427
lily,32,4.2468,3.5523,3.5040,3.7355,2.5499
my,29,4.2340,3.5559,3.5018,3.7337,2.5424
tina,44,4.2434,3.5594,3.5096,3.7404,2.5439
xiaowen,21,4.2561,3.5621,3.5117,3.7371,2.5410
yh.P小啦,17,4.2519,3.5613,3.5151,3.7414,2.5385
yy,41,4.2381,3.5675,3.5142,3.7410,2.5381
三水.,43,4.2403,3.5628,3.5123,3.7377,2.5350
冬米,36,4.2487,3.5593,3.5079,3.7406,2.5493
刘浩宇,28,4.2464,3.5615,3.5148,3.7405,2.5463
刺猬,34,4.2516,3.5645,3.5126,3.7389,2.5329
吕江雅,10,4.2398,3.5648,3.5138,3.7350,2.5422
哈哈哈,37,4.2479,3.5532,3.5029,3.7372,2.5618
喵过星空,8,4.2343,3.5633,3.5115,3.7446,2.5477
噜咪,31,4.2438,3.5592,3.5155,3.7423,2.5463
小白菜,11,4.2294,3.5527,3.5015,3.7347,2.5458
懵0.0,3,4.2453,3.5689,3.5166,3.7422,2.5335
我是月亮,7,4.2427,3.5585,3.5106,3.7410,2.5460
方青松,35,4.2376,3.5584,3.5059,3.7333,2.5493
次等秘密,5,4.2376,3.5548,3.5075,3.7343,2.5437
汀,13,4.2417,3.5642,3.5122,3.7327,2.5304
江暮,38,4.2437,3.5652,3.5093,3.7401,2.5406
汤元（张熙元）,26,4.2420,3.5502,3.5061,3.7385,2.5480
洛克曼,14,4.2408,3.5607,3.5085,3.7410,2.5515
洛杉矶的W,39,4.2377,3.5610,3.5031,3.7389,2.5363
潇潇,45,4.2244,3.5508,3.5034,3.7316,2.5492
烂泥,30,4.2474,3.5636,3.5087,3.7331,2.5313
煎饼,12,4.2439,3.5581,3.5101,3.7379,2.5421
爱吃萝卜爱吃菜,16,4.2465,3.5623,3.5086,3.7371,2.5347
特恩,23,4.2508,3.5588,3.5089,3.7364,2.5411
特特,4,4.2446,3.5615,3.5178,3.7443,2.5439
纨兰,15,4.2541,3.5553,3.5069,3.7353,2.5497
苹果人,1,4.2567,3.5597,3.5050,3.7366,2.5456
蜉蝣,27,4.2416,3.5554,3.5045,3.7347,2.5540
说笑,40,4.2446,3.5618,3.5127,3.7389,2.5530
🐏,25,4.2418,3.5625,3.5120,3.7368,2.5353
